,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,mode,speechiness,tempo,valence,target
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,1,0.431,150.062,0.28600000000000003,1
1,0.19899999999999998,0.743,326933,0.359,0.00611,1,0.13699999999999998,1,0.0794,160.083,0.588,1
2,0.0344,0.838,185707,0.41200000000000003,0.000234,2,0.159,1,0.289,75.044,0.17300000000000001,1
3,0.604,0.494,199413,0.33799999999999997,0.51,5,0.0922,1,0.0261,86.46799999999999,0.23,1
4,0.18,0.6779999999999999,392893,0.561,0.512,5,0.439,0,0.0694,174.00400000000002,0.904,1
5,0.00479,0.804,251333,0.56,0.0,8,0.16399999999999998,1,0.185,85.023,0.264,1
6,0.0145,0.7390000000000001,241400,0.47200000000000003,7.27e-06,1,0.207,1,0.156,80.03,0.308,1
7,0.0202,0.266,349667,0.348,0.664,10,0.16,0,0.0371,144.154,0.39299999999999996,1
8,0.0481,0.603,202853,0.9440000000000001,0.0,11,0.342,0,0.34700000000000003,130.035,0.39799999999999996,1
9,0.0020800000000000003,0.836,226840,0.603,0.0,7,0.5710000000000001,1,0.237,99.994,0.386,1
10,0.0572,0.525,358187,0.855,0.0143,5,0.649,0,0.0548,111.95100000000001,0.524,1
11,0.0915,0.753,324880,0.748,0.0034799999999999996,10,0.212,1,0.0494,104.322,0.642,1
12,0.253,0.603,356973,0.434,0.0619,0,0.10800000000000001,1,0.0342,127.681,0.381,1
13,0.366,0.762,243270,0.47600000000000003,0.0,0,0.10300000000000001,1,0.114,130.007,0.36700000000000005,1
14,0.44,0.662,247288,0.603,0.0,9,0.0972,0,0.0793,125.01100000000001,0.35100000000000003,1
15,0.019,0.637,188333,0.8320000000000001,0.0563,6,0.316,1,0.163,99.988,0.317,1
16,0.0239,0.603,270827,0.955,0.0451,1,0.11900000000000001,1,0.0458,123.92200000000001,0.773,1
17,0.233,0.789,447907,0.659,0.00049,4,0.184,0,0.0429,122.415,0.8420000000000001,1
18,0.314,0.713,195429,0.611,0.0,1,0.11699999999999999,0,0.24100000000000002,140.061,0.7829999999999999,1
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,0,0.0449,109.98200000000001,0.763,1
20,0.0007019999999999999,0.8540000000000001,249253,0.7190000000000001,0.308,10,0.428,0,0.0655,128.049,0.47100000000000003,1
21,0.00023999999999999998,0.747,307680,0.74,0.369,1,0.0995,1,0.0323,130.031,0.77,1
22,0.11800000000000001,0.8540000000000001,287086,0.401,0.0,9,0.527,1,0.395,139.922,0.441,1
23,0.000596,0.22399999999999998,132760,0.925,1.35e-06,11,0.0663,0,0.0834,138.02200000000002,0.364,1
24,0.27899999999999997,0.512,203400,0.564,1.5399999999999998e-05,10,0.133,1,0.0316,94.49799999999999,0.401,1
25,0.0021899999999999997,0.7809999999999999,205160,0.795,0.26899999999999996,7,0.0673,1,0.036000000000000004,109.977,0.795,1
26,0.341,0.41100000000000003,199500,0.684,1.42e-06,11,0.198,0,0.38299999999999995,110.016,0.598,1
27,0.018000000000000002,0.6459999999999999,188333,0.8370000000000001,0.0403,6,0.316,1,0.134,100.04,0.32,1
28,0.0516,0.782,228562,0.5720000000000001,0.0,4,0.33,0,0.0385,120.021,0.237,1
29,0.282,0.735,186096,0.4,0.125,1,0.0811,1,0.102,129.004,0.326,1
30,0.007909999999999999,0.45,220934,0.449,0.0,2,0.17300000000000001,1,0.156,135.45,0.13699999999999998,1
31,0.0219,0.897,285240,0.642,1.31e-06,2,0.159,1,0.0534,127.984,0.27,1
32,0.0358,0.9590000000000001,213000,0.598,0.0,8,0.358,1,0.0713,127.029,0.424,1
33,0.0324,0.742,280831,0.5589999999999999,0.0,5,0.0987,1,0.141,146.923,0.429,1
34,0.11800000000000001,0.805,232880,0.687,0.0,9,0.0842,1,0.0458,119.999,0.6829999999999999,1
35,0.0428,0.667,230693,0.581,0.0,0,0.183,0,0.32299999999999995,110.95299999999999,0.37200000000000005,1
36,0.297,0.722,175613,0.823,0.0,7,0.489,1,0.081,148.23,0.855,1
37,0.0565,0.853,205879,0.547,0.0,1,0.341,1,0.19399999999999998,142.065,0.677,1
38,0.0128,0.747,213507,0.705,0.0,9,0.126,0,0.126,136.024,0.5710000000000001,1
39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,0,0.0327,124.111,0.848,1
40,0.00041,0.731,324541,0.852,0.625,11,0.358,1,0.0476,125.008,0.622,1
41,0.0035600000000000002,0.76,186122,0.402,0.0,8,0.33299999999999996,1,0.16399999999999998,147.028,0.069,1
42,0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,0,0.0473,139.94,0.318,1
43,0.00243,0.621,378893,0.6829999999999999,0.00856,11,0.525,0,0.242,124.28299999999999,0.0891,1
44,0.5329999999999999,0.64,234526,0.8190000000000001,0.0,7,0.156,1,0.455,166.012,0.624,1
45,0.0063100000000000005,0.715,213093,0.833,0.0,2,0.16399999999999998,1,0.10800000000000001,95.48700000000001,0.607,1
46,0.00182,0.7,386160,0.7559999999999999,0.711,2,0.0575,1,0.0575,114.28,0.9470000000000001,1
47,0.0923,0.789,175240,0.494,0.000408,1,0.14400000000000002,1,0.0456,104.59299999999999,0.8320000000000001,1
48,0.375,0.7959999999999999,252547,0.86,0.00457,5,0.0745,0,0.0653,129.00799999999998,0.973,1
49,0.183,0.716,576888,0.9570000000000001,0.057999999999999996,3,0.182,1,0.0689,106.714,0.93,1
50,0.0185,0.74,241341,0.846,0.0624,2,0.254,1,0.0808,95.995,0.852,1
51,0.0638,0.7,224480,0.84,0.11199999999999999,7,0.141,0,0.0292,132.475,0.745,1
52,0.456,0.514,215613,0.45299999999999996,0.000181,6,0.17800000000000002,1,0.0267,75.548,0.532,1
53,0.128,0.313,286960,0.77,0.0787,7,0.0873,1,0.0335,74.749,0.18600000000000003,1
54,0.24600000000000002,0.6759999999999999,254769,0.528,0.0,7,0.0803,1,0.0366,130.07299999999998,0.301,1
55,0.12,0.532,213622,0.596,0.0,11,0.504,0,0.187,119.296,0.486,1
